reviewId,content,score
1a362811-05bf-4159-bdf1-3855b623243f,Ta kota hug pele ajke? Choc day te kota choc pele teddy pele...kichu to janalei naaa,3
6a122149-1735-4a9c-b6c4-2e5fb4e28097,How good the app used to be but now the new update is awful.u can't change a song backwards.also there are one or more ads after every few minutes.soooooo badddd,1
4f89b33f-4ed0-43e7-9fd5-99a0fa0a043b,Had problems with it for the last 2 months and could not find any help on the matter. Happy to take my subscription money while the app doesn't work!,1
4db8eec3-3e24-4f72-9db8-ff0dd9f4fb0f,Worst app U can't replay a song,1
37b6d99b-d939-4d93-96ad-6dcdfe4c17f8,I've had spotify for almost 4 years I love it nothing better spotify has everything,5
ad22057f-2447-4657-8036-d765c71e48c1,Bhau jyada bhar gya hai... ad tk thk tha pagal sab gaana queue me bhi nhi de rha hai aur skip bhi nhi....,1
15318c3c-ffc7-4bf2-9166-e212863ba971,Bakwas,1
11dec3a4-8383-40ba-9525-ffbdea9f8677,I love it,5
e16d19ef-322f-4560-8b7f-abe2411d3277,Why there is not an option of zero stars to this app ...I have deleted this app and using other alternative which far better and free for airtal...than this Spotify I recommend don't download this unless u want to spend ur money to listen music iam really really disappointed Spotify :),1
dee11765-a100-4812-97ed-39cbdbc57148,Well Spotify you are making me angry and nothing more I will say just make it so that I can listen to any part of the song by taping instead of you doesn't just let me touch it,1
b762fade-9f34-4bc3-a3d6-b04525243198,"Dumbest update ever. I am giving this thing a 1 star because it doesn't have the basic features of a music app. For an example for I can't rewind or forward while hearing a music, We can't see queueof the next songs to be played, and much much MORE. So see forward to fix these problems...",1
8435cde7-1e76-422e-bb48-100287f047d0,wow 👌,5
4b4f3b99-79e1-4f89-b88d-1de9c23c100f,इस ऐसे टीटीआर से,3
204c32df-f9f2-4326-b22b-cdc7adbb8206,Love the ability to stream my favourite music wherever I am.,5
5ba1fa6a-7fba-4cd6-8a16-57121b02c85a,iklan horror ilangin aja dah kaga bermutu,2
bf25862b-e199-4165-a790-da85e3b27771,Sab toh thik hai lekin ads bohot aate hai,2
08f33c71-010c-4aba-b2ef-67fd3fcbe8db,Nice music app,5
dcfc3a9c-2680-4df8-a013-5039d146c989,Remove ad and add revind andforvet,1
b8b8c5b1-fa3c-4266-9d77-46b711425f70,It just be now a irritating app with premium ads,1
47d896ac-d9a5-408f-b4f9-acd215dd0ca9,Downloaded albums/playlists/etc don't work when in airplane mode which is the entire point,1
b15b1a24-fc01-4c5a-8445-3a0bde1f829c,Bahut jyada kharab hai ADD bahut deta hai 😡😡😈,1
c3629bcf-0390-429f-baa0-6d21a32d4770,So beautiful,5
2836b78b-4950-42da-9bbe-1882710d399b,it is very bad,5
988f2f29-1aa8-4697-817a-aced3d5e3e92,Good quality,5
bdcb387b-38fd-432f-897b-03f33066513d,Nic,5
1652a649-2df4-47c0-9172-58753a403bf4,Ads every 3 songs is rediculous,3
cf27153b-7989-4b4b-8427-e7af74b21639,Excellent,5
afd8d2f8-f8c8-461d-96fb-1c8c4f821b8d,Period ate,5
3b040ea6-530b-4f06-9a65-b075ddc0a80b,"I don't recommend to download it , such a waste of time",1
b4852d55-d946-415e-a382-3878e65fc07f,✨️,4
6f647e37-a594-43d3-9f93-c7ba198ed619,U know,1
3e511a68-5aec-4f8a-ad2b-7db6d1bec370,Hated your new restrictions for free users,1
40f22afe-e662-42f2-912f-5be282924138,At first it was great...now can't skip...can't forward songs...can't do anything,1
b17ecb61-d552-488b-9daa-660b96d0f9f4,Bakwas,1
0a7ce2e4-4329-44f8-b499-8ebae4cca4db,It's a perfect choice for music,1
fd5ddd96-ef59-4bb5-91f9-f1cc63326565,"Amazing, I download music for offline and it's just an all-around great music app.",5
10d38949-e84d-44d5-abf1-9efb44f8dcfc,Never installed this but its in history as having done so,1
313b65ac-4f93-4e47-887f-617161784895,"Idk, just 4",4
945aacb7-d29e-40a4-bb73-f1e1038d1a2a,some basic things are we don't use it's just their profit but where is their real costumer... it's Just primium full AAP if you are rich then you use it that's it..,1
bbcf94d9-9658-4514-b18c-807d409b4b9a,Worst feeling because of adds and only premium members can skip it really waste app,1
344e2ca9-9a48-4e46-b475-8723a0ba4863,hate this app man. can't even listen to a record w/o premium.,1
dd6b0699-b3c5-424b-bb20-428504da7ca3,I'm unimpressed with new updates 😢because I want listen order and I can't to pay for the package but now no the option for backward also it's so disappointing. Please don't do it. Normal type spotify I like most. I can't play my favorite song any time... It's too much uncomfortable. So we can't listen any song the why did we install? And I'm seriously hurt it's updating made my day worst. So much pain I can't here my favorite like songs. When old version come I will install. So I'm uninstalle.,1
ed8813cf-f0ad-4f8a-90be-2ab975b2fc24,Very bad...,1
9163ddfd-2fa5-4a35-b1a8-78697d9fea7b,great app!👍,3
248fa6a3-8d47-4c57-837f-0881f76e81bb,"This app has everything I need, great music, any and everything with 30M songs, you can't go wrong with Spotify!!!!!, so Thank You!!!!!!!!",5
